"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","USA"
"Time:","01/1920 - 08/2022"
"Unit of Measure:","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production, 01/1920 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP1845CAA6BEB23"
"ColumnCount:",2
"RowCount:",1232

"Time","US Crude Oil Production (Barrels)"
"08/1975",255712000
"09/1975",248389000
"10/1975",258057000
"11/1975",248336000
"12/1975",255860000
"01/1976",255185000
"02/1976",238705000
"03/1976",255198000
"04/1976",242310000
"05/1976",251860000
"06/1976",242833000
"07/1976",251942000
"08/1976",251429000
"09/1976",244489000
"10/1976",249962000
"11/1976",242388000
"12/1976",249879000
"01/1977",243478000
"02/1977",227890000
"03/1977",250778000
"04/1977",244347000
"05/1977",250317000
"06/1977",243058000
"07/1977",251244000
"08/1977",257510000
"09/1977",254392000
"10/1977",265776000
"11/1977",257378000
"12/1977",263097000
"01/1978",259150000
"02/1978",234544000
"03/1978",270324000
"04/1978",264526000
"05/1978",273583000
"06/1978",264974000
"07/1978",271442000
"08/1978",271502000
"09/1978",264010000
"10/1978",273420000
"11/1978",262233000
"12/1978",268508000
"01/1979",262716000
"02/1979",238710000
"03/1979",266635000
"04/1979",256593000
"05/1979",266631000
"06/1979",252949000
"07/1979",259278000
"08/1979",264981000
"09/1979",255693000
"10/1979",267256000
"11/1979",262818000
"12/1979",267050000
"01/1980",268940000
"02/1980",252431000
"03/1980",269650000
"04/1980",260541000
"05/1980",267684000
"06/1980",256619000
"07/1980",264964000
"08/1980",260841000
"09/1980",258577000
"10/1980",264489000
"11/1980",254852000
"12/1980",266777000
"01/1981",264736000
"02/1981",240914000
"03/1981",267003000
"04/1981",256708000
"05/1981",263541000
"06/1981",258859000
"07/1981",263498000
"08/1981",266069000
"09/1981",258120000
"10/1981",265450000
"11/1981",257579000
"12/1981",266147000
"01/1982",263793000
"02/1982",243661000
"03/1982",268687000
"04/1982",257738000
"05/1982",269186000
"06/1982",259383000
"07/1982",268398000
"08/1982",267643000
"09/1982",261028000
"10/1982",269745000
"11/1982",260918000
"12/1982",266535000
"01/1983",269604000
"02/1983",245237000
"03/1983",269706000
"04/1983",263269000
"05/1983",267575000
"06/1983",260014000
"07/1983",267717000
"08/1983",269053000
"09/1983",263530000
"10/1983",271890000
"11/1983",263111000
"12/1983",260293000
"01/1984",274902000
